"gene"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"1"	"XLOC_002740"	220.95050736632	1.02968630039662	0.223751139145701	4.60023681031016	4.22010910342949e-06	4.32221211290497e-05
"2"	"XLOC_003209"	21.4573865989471	1.44820043636278	0.472624063183902	3.04441652111944	0.00233132120490368	0.0115999133447391
"3"	"XLOC_004311"	135.721584910268	1.04939397237506	0.211664763538221	4.95430923038589	7.25876913994949e-07	8.70334051238965e-06
"4"	"XLOC_005634"	33.0623191660747	1.20713720173543	0.377402449147601	3.18515928514258	0.00144674352936436	0.00769110599048979
"5"	"XLOC_005978"	46.3225561279783	3.20696235793369	0.387881882746422	7.87363590734473	3.44480491416713e-15	1.24141036572253e-13
"6"	"XLOC_006885"	13.6323652100728	1.73744883175763	0.527065697730627	3.24150453371377	0.00118900542852157	0.00649680427034376
"7"	"XLOC_006886"	17.8694570582736	1.82490969564457	0.491649190328558	3.64894652146856	0.000263317906885335	0.00176041640644582
"8"	"XLOC_007241"	75.3103911833172	1.02466675731778	0.283592470431579	3.60921271496494	0.000307127694518891	0.00201645504278099
"9"	"XLOC_007243"	65.9762817510223	1.11722986074317	0.324224697781212	3.44022546446717	0.000581229773160823	0.00352483041665375
"10"	"XLOC_007246"	657.466902324916	1.05790673900239	0.187911096082399	5.62910562740366	1.81146445531369e-08	2.89297140524068e-07
"11"	"XLOC_007247"	223.636720548414	1.17489339976928	0.238869540946857	4.91625783818345	8.82141981000338e-07	1.04413728495937e-05
"12"	"XLOC_007248"	141.456858691485	1.5583290766778	0.22492341016439	6.91689134051555	4.61661910150549e-12	1.23170719132152e-10
"13"	"XLOC_009715"	45.2574263743757	1.99097393766916	0.352828985480358	5.58665178441624	2.31489228414709e-08	3.63409972510476e-07
"14"	"XLOC_010388"	193.36481839149	1.0267420548064	0.257172958902094	3.99114563764137	6.57548834044245e-05	0.000515093203816154
"15"	"XLOC_011244"	42.6872670139356	1.37745322207585	0.468847147923387	2.93009549050182	0.0033885785556777	0.015993199862217
"16"	"XLOC_011938"	28.2957310317661	1.4058089290045	0.473847718537427	2.95155632732669	0.00316176872580135	0.0150763335110272
"17"	"XLOC_013960"	16.9411418466385	1.25211897036025	0.45682156985348	2.71848412501624	0.00655818027230141	0.0280622377222202
"18"	"XLOC_014296"	9.67127408836985	1.68829703786687	0.536792337340324	3.07633575459423	0.00209561721603096	0.0105779293372581
"19"	"XLOC_014483"	5.18321136860131	1.5237434168007	0.544702453751855	2.90787045724698	0.00363899045902472	0.0169761181471538
"20"	"XLOC_015036"	17.7724992995959	1.59620080168592	0.462053682147447	3.40814080490793	0.000654071345120523	0.00390669600714624
"21"	"XLOC_015038"	12.1992284818176	1.34762742940196	0.4985211362357	2.66966132154422	0.00759277895224576	0.031787691281827
"22"	"XLOC_015751"	119.54569652348	1.51393825765272	0.30215835631728	5.0018749386655	5.67754181758882e-07	6.96554787114476e-06
"23"	"XLOC_015893"	27.2571025673449	1.33670124618095	0.426226352862012	3.11692934764562	0.00182745362611504	0.00939307287993592
"24"	"XLOC_017775"	96.7860950324282	1.00031510997414	0.394678755228704	2.53324123627852	0.011301314671999	0.0441042449397579
"25"	"XLOC_017866"	8.75455023611821	1.35326887452463	0.552879721326817	2.47837236030422	0.0131983324729817	0.0499979034752187
"26"	"XLOC_017867"	53.1635887767602	1.68278469150371	0.452152423598133	3.71163803874248	0.000205922317142848	0.00142180266551479
"27"	"XLOC_017868"	20.5266343489927	1.81886066377342	0.511768798331097	3.52404222082095	0.000425016520108532	0.00269902122056213
"28"	"XLOC_017869"	80.6866874035776	1.03343713967358	0.30686844661382	3.36436846242603	0.000767190445538322	0.00445871953180366
"29"	"XLOC_019263"	45.7828958123569	1.42042603205265	0.405510930268314	3.49365811180409	0.000476450754937331	0.00298462915564619
"30"	"XLOC_019802"	50.0195790149772	1.54883510350943	0.448498341213068	3.44278958936941	0.000575747076234231	0.00350034001694239
"31"	"XLOC_021036"	99.1716751391399	1.09710956357432	0.260506472385234	4.20725033044121	2.58496744248103e-05	0.00022234848613497
"32"	"XLOC_022874"	9.59849113481722	1.4174410413734	0.516976658085433	2.69415984103705	0.00705663146700172	0.0298264597519576
"33"	"XLOC_029764"	15.9072714474852	1.26539078713336	0.456362971597456	2.74839081713589	0.00598885771859696	0.025952609174823
"34"	"XLOC_030621"	74.10256192968	1.36593739946417	0.324151157052374	4.20577305376826	2.60191232088971e-05	0.000223409548615632
"35"	"XLOC_030689"	116.054238149739	1.09873939952831	0.358412398318635	3.06422525633432	0.00218234522871921	0.0109671615589446
"36"	"XLOC_032826"	20.3625013111654	1.21515187508792	0.45376346640044	2.6655323680563	0.00768665317117832	0.0321459947547035
"37"	"XLOC_033348"	9.82787401272422	1.35665554599819	0.516119510173205	2.58897362683862	0.00962624666514767	0.0386005522944949
"38"	"XLOC_033429"	69.8646108214029	1.21468345297494	0.325244512124799	3.72874846815765	0.000192433111134274	0.00134011966906297
"39"	"XLOC_035840"	40.3611747858583	1.32532673470817	0.372123275305221	3.54728168233066	0.000389228194003896	0.00250127816551128
"40"	"XLOC_037619"	24.745423911308	1.70448763849524	0.50458332334912	3.35444003449523	0.000795257876658044	0.00460665064614465
"41"	"XLOC_037975"	17.4409201294585	1.3871906480753	0.523509910937775	2.63860919142909	0.00832468867345192	0.0343914476882348
"42"	"XLOC_038297"	295.446854205529	1.12546135142723	0.18739015498159	6.00370451250108	1.92865562832249e-09	3.57824864464803e-08
