"gene"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"1"	"XLOC_000986"	8.09402582107501	-1.55345728244498	0.535101743919829	-2.82780851470944	0.00468678311590024	0.0211573256087775
"2"	"XLOC_000988"	5.96587662569405	-1.93220458219389	0.552757902508519	-3.32575404399086	0.000881797022581067	0.00503869162210484
"3"	"XLOC_002947"	5.38702210753638	-1.56573019814682	0.552286826112874	-2.72821284714346	0.00636785048368041	0.0273746973786243
"4"	"XLOC_003913"	34.6809092819015	-2.37311558211363	0.423386120641232	-5.4873941603404	4.07906266866959e-08	6.13111904629647e-07
"5"	"XLOC_003921"	7.41251317977894	-2.38715025911948	0.552708956304238	-4.32726212622939	1.50974251728915e-05	0.000136652137839412
"6"	"XLOC_004229"	13.9180189663067	-1.35961984865847	0.495456758455295	-2.71455605090568	0.00663646688321956	0.0283284500070147
"7"	"XLOC_006357"	3.71727777127149	-1.40144713798035	0.544827306630062	-2.64105825522197	0.0082647507030533	0.0341729551355934
"8"	"XLOC_006358"	24.9798679692368	-1.67964943636265	0.423195883163853	-3.92048275069844	8.83717616821426e-05	0.000666414513999759
"9"	"XLOC_006572"	4.8176681650666	-1.68921240119708	0.550472161745047	-3.00875237542444	0.00262322826909546	0.0128367364162602
"10"	"XLOC_007590"	48.5169949343397	-1.57625555675166	0.413740427091766	-3.79411411740137	0.000148171520047553	0.00106044644912586
"11"	"XLOC_007959"	6.04765145008713	-1.48198183733253	0.551796992593237	-2.61851763831847	0.00883127258812037	0.0360920558470653
"12"	"XLOC_010270"	35.5826332686076	-1.39176294535409	0.359299322961609	-3.85431653776376	0.000116053369064914	0.000852611867916087
"13"	"XLOC_010271"	11.9518680379648	-1.32412838299762	0.514388078883848	-2.54598976190002	0.0108968384238144	0.042792769568749
"14"	"XLOC_017259"	60.7097790366289	-1.61579251203567	0.307714701074093	-5.22872914492046	1.70679197942467e-07	2.29322819799623e-06
"15"	"XLOC_021067"	24.1001701118741	-2.17044393590532	0.453422707661705	-4.67460978258025	2.94513060449144e-06	3.11952378824957e-05
"16"	"XLOC_022250"	408.005882356958	-2.95738825391935	0.190514830328295	-15.4709918457655	5.44614139442407e-54	1.17321988172326e-51
"17"	"XLOC_024591"	26.9683034268358	-1.60890562240524	0.488577251019783	-3.27006161440518	0.00107524061240794	0.00596644676398543
"18"	"XLOC_026048"	13.7223344456048	-1.66229213399883	0.501584960419627	-3.25710766238686	0.00112553733782935	0.00620117019205328
"19"	"XLOC_026161"	7.97327981210502	-2.3500161581738	0.549639332317513	-3.83124531741416	0.000127496304740882	0.000926151501055158
"20"	"XLOC_027077"	3.61946500473054	-1.5151969931368	0.536020505436464	-3.13147911706393	0.00173928155117574	0.00901110191543177
"21"	"XLOC_032007"	14.3501817979291	-2.6405025608985	0.535492996613583	-4.37708032663847	1.20279655527682e-05	0.00011126448673667
"22"	"XLOC_032008"	6.46108070401013	-1.95386646966544	0.550736355740903	-3.19798553633517	0.00138391221334933	0.00739299374850081
"23"	"XLOC_033085"	200.18910742194	-3.14144933481495	0.222285815463701	-14.0006931661069	1.5435782825556e-44	2.30206890324523e-42
"24"	"XLOC_033841"	38.0064934704398	-1.28996497230659	0.359045689326238	-3.57854333824041	0.00034551458057563	0.0022411631609904
"25"	"XLOC_034106"	3.61570703024465	-1.32847763327836	0.523254991575378	-2.92721200456198	0.00342015653822193	0.0160946589716133
"26"	"XLOC_036011"	7.05783089017143	-2.18099726026027	0.552400704505454	-4.10932836882089	3.96811502164074e-05	0.000325439145683463
"27"	"XLOC_037541"	8.36685305720108	-1.64567245702	0.540448377991046	-2.96377833848731	0.00303887098403615	0.0145439720164139
"28"	"XLOC_037662"	19.9497742111802	-1.53651572863724	0.43540751861534	-3.48942234988308	0.0004840656706896	0.00302548846657961
"29"	"XLOC_039406"	4.35679780028157	-1.75890059616327	0.545846738542474	-3.4735687306049	0.000513585806638213	0.00317924700482174
"30"	"XLOC_039474"	9.80514301639057	-1.97620050188741	0.551045573508536	-3.43847425482812	0.000585002161652531	0.00354548981247867
"31"	"XLOC_040694"	18.502895169601	-3.30757818672446	0.54139911565459	-5.53868566025843	3.04750064805178e-08	4.68928115590698e-07
"32"	"XLOC_042087"	21.4701410182203	-3.36102254913914	0.486891251824743	-5.7639720837641	8.21570103779769e-09	1.38029472894993e-07
"33"	"XLOC_042450"	19.2827932101324	-2.2651043070509	0.512596730959261	-4.27943835320003	1.87365523645824e-05	0.000165647185246021
"34"	"XLOC_044220"	16.3091672344252	-1.39599645559894	0.475410283216911	-2.90857366161729	0.00363081629387863	0.0169502206370621
"35"	"XLOC_045154"	41.3491362190057	-1.32104485581926	0.374982052097308	-3.50888279808039	0.000449993154481348	0.00283538098117789
"36"	"XLOC_047060"	4.34894592641427	-1.53905983364678	0.547837769645835	-2.83683956533972	0.00455625002495768	0.0206490358774847
"37"	"XLOC_047441"	94.8319160123312	-1.59575902878461	0.292621756595196	-5.43825281808691	5.38055901020131e-08	7.9269208274911e-07
"38"	"XLOC_048018"	6.0088045361874	-2.12184227240952	0.55221719178901	-3.98167450384381	6.84314519560798e-05	0.000533473659237827
"39"	"XLOC_052360"	20.6530557016416	-2.4066336497087	0.47371779072522	-4.86958139872009	1.11834908146398e-06	1.29525400187716e-05
"40"	"XLOC_052535"	12.5928016883171	-1.50088561012132	0.509554927007292	-2.89915996672392	0.00374163944138142	0.017371385414153
"41"	"XLOC_055637"	12.8577136367892	-3.05331370950399	0.544499282683719	-5.16638604720529	2.38663595150063e-07	3.11806589135405e-06
"42"	"XLOC_057356"	10.1211922656359	-2.10814140309141	0.540707589045561	-3.66578490449837	0.000246581119458889	0.00166575426622611
"43"	"AL390719.1"	255.07994894857	-4.42294880859375	0.285742256215621	-15.0618555798036	2.88572378375176e-51	5.70902170605909e-49
"44"	"AL645608.8"	15.8773519832863	-3.35544724720513	0.523006293837057	-4.9426771625161	7.70570272662701e-07	9.18243174332172e-06
"45"	"TNFRSF18"	609.991277386864	-4.43832332277024	0.472600570645002	-9.4382470085987	3.79067880926003e-21	1.99711089005254e-19
"46"	"TNFRSF4"	561.924474233611	-6.30464467798837	0.327648707924539	-17.7107462019793	3.46448854642135e-70	1.63828058385408e-67
"47"	"ATAD3A"	749.38356787649	-1.09534158468059	0.234423258130517	-4.67197273180396	2.98320571567396e-06	3.15023923831627e-05
"48"	"TNFRSF14"	1506.69553933436	-1.18210612918328	0.122762728708388	-9.62846663769862	6.06273895024769e-22	3.37771214848857e-20
"49"	"TP73"	27.7639210137602	-3.51641171241715	0.508182689469237	-5.70266818378241	1.17946442049258e-08	1.93627910114396e-07
"50"	"RNF207"	86.8341685093742	-2.88221669368678	0.400731946388413	-7.0867730830056	1.37275191398915e-12	3.89106931409674e-11
"51"	"LINC00337"	3.68491467116837	-1.25693208979956	0.535496209590958	-2.48551346216755	0.0129364694196004	0.049149964551678
"52"	"ACOT7"	926.855755632119	-3.09096013903306	0.217771303530137	-14.1723039468518	1.35965417021431e-45	2.09214087715199e-43
"53"	"TNFRSF9"	1610.81311946207	-3.36970439841143	0.542791477404109	-7.0749040792261	1.49552170010663e-12	4.22670185447046e-11
"54"	"PARK7"	3408.59259903883	-1.03019557180986	0.177079765160871	-5.81756083999345	5.97125315393235e-09	1.02815858035915e-07
"55"	"ENO1"	24058.0928172878	-1.85816868270278	0.222876343431512	-8.33720666703549	7.60660486781829e-17	3.08528985726487e-15
