"","Ad1","Ad2","Ad3","Ad1 CD3CD28","Ad2 CD3CD28","Ad3 CD3CD28"
"XLOC_002298",2,2,2,1,1,0
"XLOC_002299",2,4,3,3,4,9
"XLOC_002301",21,28,16,39,38,12
"XLOC_002302",47,46,46,44,69,20
"XLOC_002303",38,56,52,42,82,44
"XLOC_002304",10,2,6,8,13,5
"XLOC_002306",148,165,164,221,330,139
"XLOC_002316",1,0,0,1,0,0
"XLOC_002325",12,8,12,11,17,11
"XLOC_002328",14,13,8,4,14,0
"XLOC_002342",5,6,4,5,12,3
"XLOC_002389",40,20,17,19,25,18
"XLOC_002398",0,0,0,1,0,0
"XLOC_002417",0,0,2,1,0,0
"XLOC_002418",0,0,0,0,0,0
"XLOC_002441",10,4,5,9,6,1
"XLOC_002444",0,0,0,0,0,0
"XLOC_002447",40,38,26,29,24,15
"XLOC_002448",27,29,28,21,36,19
"XLOC_002449",4,3,1,1,6,0
"XLOC_002450",1,5,0,1,2,0
"XLOC_002451",54,38,48,35,36,39
"XLOC_002452",0,0,0,0,0,0
"XLOC_002453",16,5,19,9,18,7
"XLOC_002472",1,0,2,3,5,5
"XLOC_002481",7,6,5,3,6,5
"XLOC_002482",16,5,13,9,8,4
"XLOC_002489",12,11,7,24,18,22
"XLOC_002493",0,0,0,1,1,0
"XLOC_002494",16,12,21,7,11,9
"XLOC_002503",27,3,9,7,9,5
"XLOC_002538",9,14,9,5,7,2
"XLOC_002540",12,15,3,11,13,3
"XLOC_002541",20,12,2,9,8,3
"XLOC_002552",0,0,1,3,1,0
"XLOC_002553",5,2,3,2,2,2
"XLOC_002554",2,1,0,2,1,1
"XLOC_002555",2,0,1,0,0,0
"XLOC_002559",12,14,14,13,9,8
"XLOC_002560",4,3,6,6,8,1
"XLOC_002569",0,0,0,0,0,0
"XLOC_002581",0,0,0,0,1,0
"XLOC_002582",2,0,0,1,0,0
"XLOC_002619",0,0,3,0,3,0
"XLOC_002620",3,0,3,0,4,0
"XLOC_002621",8,8,5,2,9,2
"XLOC_002622",3,2,2,1,0,5
"XLOC_002653",11,8,14,10,5,2
"XLOC_002654",31,11,17,10,11,9
"XLOC_002683",0,0,0,1,1,5
"XLOC_002723",4,6,3,3,4,2
"XLOC_002727",8,7,3,2,2,0
"XLOC_002734",5,4,3,0,2,4
"XLOC_002740",281,339,266,127,187,123
"XLOC_002742",0,3,0,0,2,1
"XLOC_002755",1,0,0,0,1,0
"XLOC_002767",0,0,0,1,0,0
"XLOC_002802",65,161,165,31,138,104
"XLOC_002823",1,2,0,1,0,0
"XLOC_002851",4,2,1,1,4,4
"XLOC_002858",31,14,16,11,8,7
"XLOC_002865",5,2,3,2,3,0
"XLOC_002867",1,0,1,0,0,0
"XLOC_002892",14,16,18,3,14,4
"XLOC_002902",20,10,20,7,27,28
"XLOC_002906",2,1,0,1,0,1
"XLOC_002916",1,1,1,0,2,0
"XLOC_002917",0,0,0,2,1,3
"XLOC_002943",6,18,35,1,30,34
"XLOC_002944",2,16,16,0,5,15
"XLOC_002945",4,27,39,1,28,24
"XLOC_002946",1,3,5,0,6,9
"XLOC_002947",0,1,1,16,6,7
"XLOC_002964",0,0,0,1,1,0
"XLOC_002965",2,3,1,0,7,0
"XLOC_002968",14,11,21,20,17,20
"XLOC_002970",125,105,205,77,150,153
"XLOC_002973",56,49,76,76,95,85
"XLOC_002974",33,31,39,34,76,65
"XLOC_002975",25,14,8,18,39,28
"XLOC_002978",0,1,0,0,0,0
"XLOC_002987",23,22,14,10,33,21
"XLOC_003057",4,6,4,5,8,6
"XLOC_003093",7,9,8,4,6,5
"XLOC_003126",7,11,5,3,13,2
"XLOC_003148",0,0,0,0,0,0
"XLOC_003158",2,1,0,1,0,0
"XLOC_003159",0,3,4,3,2,0
"XLOC_003160",2,3,0,1,3,1
"XLOC_003178",0,0,2,2,1,0
"XLOC_003188",27,24,32,26,16,16
"XLOC_003209",19,27,53,8,8,11
"XLOC_003240",7,5,3,1,10,1
"XLOC_003271",1,1,2,2,2,1
"XLOC_003284",5,6,7,3,8,9
"XLOC_003331",5,5,15,6,4,5
"XLOC_003349",0,0,0,0,6,1
"XLOC_003394",0,0,0,0,0,0
"XLOC_003395",0,0,0,0,1,0
"XLOC_003396",1,1,1,1,0,0
"XLOC_003397",24,25,7,18,20,4
"XLOC_003434",15,16,39,4,6,41
"XLOC_003492",6,7,1,5,8,1
"XLOC_003493",43,34,23,25,38,27
"XLOC_003564",18,9,12,6,17,7
"XLOC_003565",11,15,6,5,5,3
"XLOC_003610",0,2,0,4,0,2
"XLOC_003611",6,3,2,5,4,0
"XLOC_003633",0,0,0,1,0,1
"XLOC_003636",0,0,1,3,1,3
"XLOC_003639",2,0,1,1,4,1
"XLOC_003648",0,1,0,1,0,0
"XLOC_003652",0,0,0,0,0,0
"XLOC_003654",24,26,28,8,9,17
"XLOC_003656",0,0,1,0,1,0
"XLOC_003682",5,0,3,2,4,0
"XLOC_003688",0,0,0,0,0,0
