"A1"	"A3"	"A4"	"N2"	"N3"	"N5"
""	38115.9283481873	17882.7444806235	19294.9223760819	15368.4729641067	12990.4653870499	13478.2264252607
"A1BG"	9.78277095686008	4.98705972591203	8.66988457234417	5.99616454074036	5.48401078853776	6.26853392529262
"A1CF"	0.699696377983143	0.328191075226239	0.433151453697167	0.586955547243241	0.39810874852081	0.358867056078439
"A2M"	2.52841853405006	0.700521970812026	0.378408375390653	0.511007235902679	0.463410537071126	0.407947281119159
"A2ML1"	1.14290470707386	0.794089960929811	0.774011627359056	0.906255430651088	0.535560009019319	0.435142238605015
"A2MP1"	1.4681324233995	2.3846603831572	1.16923773231332	1.9215095502284	3.44360075158254	3.50813164077604
"A3GALT2"	0	0	0	0.055256916792337	0.0289297988925973	0.0496939100440265
"A4GALT"	1.15012905174632	1.32428951053637	1.06104447098288	1.18543768732936	1.31893556833252	0.911520483764564
"AAAS"	20.7148689684336	30.8718692868723	27.2150915412776	25.0617486404135	37.5417001159987	33.0994641394517
"AACS"	11.621897491316	22.7872500896044	15.51422244882	11.5271282824052	11.2114042750377	9.84215617623748
"AACSP1"	0.256050494602591	0.0486665384317796	0.0668527769996409	0	0.0289297988925973	0
"AADAC"	0	0	0	0	0	0
"AADACL2"	0	0	0	0	0	0
"AADACL3"	0.0796422078321969	0.243332692158898	0.0630680625651088	0	0.115719195570389	0.0993878200880529
"AADACP1"	0	0	0	0	0	0
"AADAT"	0.240096299135405	0.0494058026171737	0	0	0.946226604643428	1.81731918036368
"AAGAB"	33.5060582231224	25.7956008760225	29.0806653590335	24.5156224289882	25.843673829799	31.1144985476787
"AAK1"	21.2152020250095	12.8640110170454	10.5866976922311	14.0246315127236	14.5197867965456	16.8512729765861
"AAMDC"	4.02994111236763	4.25078617099037	4.78019397835299	6.62121531155857	4.77146200183759	4.69877238153679
"AAMP"	78.5859626078874	94.4177156654496	93.9011635991627	107.514483720633	95.3860111061605	71.8767894567524
"AANAT"	1.21729952875862	1.60964283863881	1.80558186998276	0.778487072228839	1.2645744511274	1.59020512140885
